method,family,status,n_train,n_valid,rmse,mae,r2,mape,skipped_reason
linear_regression,linear,ok,9,3,0.048435880569588904,0.04033320304715016,0.9998286694179228,1.551375148703741,
ridge,linear,ok,9,3,0.3418716623421112,0.3236662574297527,0.9914645445784959,8.39125376319126,
extra_trees,ensemble,ok,9,3,0.7206063209464675,0.6718380000000028,0.9620775291969941,33.9447512729333,
random_forest,ensemble,ok,9,3,1.1385417012840013,1.1151800000000003,0.9053330521572351,48.97470107849233,
knn,distance,ok,9,3,2.0288237310323436,1.9739799999999998,0.6993998982042571,85.18309473819728,
hist_gradient_boosting,ensemble,ok,9,3,3.8093739068542773,3.7791777777777775,-0.05976042230856682,151.69410859021087,
mean,baseline,ok,9,3,3.8093739068542773,3.7791777777777775,-0.05976042230856682,151.69410859021087,
median,baseline,ok,9,3,3.844418898871453,3.8250999999999995,-0.07934901147224993,148.70531334519993,
