,count,mean,std,min,25%,50%,75%,max
ndvi,181.0,0.23308664868830437,0.10831142872056838,-0.05635105329672253,0.16284207522829267,0.2462018230121701,0.3212767220191834,0.4505742388905357
ndwi,181.0,-0.03739644408823931,0.0935113918115758,-0.25361925619538483,-0.10650037518471676,-0.04656886611127395,0.031830111080069015,0.20482768207716204
mndwi,181.0,0.5838520556748333,0.0951717258079844,0.31470579168838186,0.5256268823097232,0.5860997684020541,0.6519969455212721,0.8097456283810277
ndti,181.0,-0.19765109238377854,0.10736486502688591,-0.44837863878515355,-0.28043320033694796,-0.2006713602836001,-0.13151594315653364,0.09527291198572478
